,3,4,5,6,9,10,11,14,16,18,22,31,33,44,47,55,63,77,88,99
25,01:17.087,01:16.791,01:17.756,01:15.790,01:21.085,01:33.194,01:16.279,01:16.464,01:15.931,01:17.252,01:17.169,01:16.706,01:14.607,01:14.418,01:23.938,01:16.685,01:17.251,01:16.139,01:17.602,01:17.418
26,01:16.810,01:17.564,01:18.329,01:16.872,01:17.661,01:15.153,01:17.294,01:16.177,01:16.249,01:17.772,01:17.218,01:16.575,01:15.352,01:14.927,01:20.467,01:16.639,01:17.094,01:15.820,01:17.029,01:16.966
27,01:17.120,01:17.321,01:16.812,01:16.410,01:17.605,01:16.285,01:17.235,01:16.390,01:16.244,01:19.910,01:17.178,01:16.880,01:14.393,01:14.787,01:17.820,01:16.738,01:19.487,01:15.508,01:17.083,01:20.442
28,01:17.128,01:16.363,01:16.888,01:16.353,01:17.820,01:15.450,01:16.494,01:17.964,01:16.321,01:34.573,01:17.023,01:16.681,01:14.683,01:14.574,01:17.886,01:17.033,01:34.763,01:15.963,01:17.313,01:34.017
29,01:17.145,01:16.280,01:16.695,01:17.664,01:17.830,01:16.042,01:16.250,01:16.682,01:16.396,01:16.082,01:17.206,01:16.617,01:15.222,01:16.203,01:17.621,01:17.053,01:16.599,01:16.043,01:17.456,01:17.385
30,01:19.869,01:16.217,01:16.583,01:16.449,01:19.159,01:15.911,01:16.282,01:17.040,01:16.703,01:15.935,01:17.154,01:16.668,01:16.362,01:14.526,01:24.301,01:17.151,01:16.293,01:16.974,01:19.589,01:16.568
31,01:36.145,01:16.158,01:16.594,01:16.682,01:18.649,01:16.114,01:16.336,01:16.973,01:16.666,01:17.049,01:20.565,01:19.920,01:15.134,01:16.033,01:41.926,01:20.945,01:17.716,01:22.297,01:20.321,01:17.305
32,01:17.097,01:16.457,01:17.159,01:17.132,01:18.753,01:15.833,01:16.421,01:17.112,01:17.418,01:18.694,01:35.553,01:32.589,01:14.886,01:15.003,01:16.469,01:35.822,01:16.655,01:32.787,01:19.350,01:17.072
33,01:16.662,01:16.424,01:17.219,01:17.068,01:20.999,01:15.871,01:16.468,01:20.105,01:17.745,01:15.902,01:16.285,01:15.212,01:14.794,01:14.728,01:17.098,01:16.263,01:17.535,01:15.049,01:18.756,01:21.476
34,01:16.854,01:16.312,01:17.641,01:18.434,01:36.521,01:16.320,01:16.105,01:34.241,01:20.851,01:16.279,01:16.612,01:17.995,01:14.468,01:14.579,01:16.358,01:15.940,01:16.377,01:14.025,01:17.736,01:35.464
35,01:16.138,01:16.175,01:17.460,01:16.674,01:16.066,01:16.160,01:16.736,01:17.118,01:34.780,01:16.239,01:17.794,01:16.557,01:15.001,01:14.809,01:16.731,01:15.770,01:16.349,01:14.142,01:17.541,01:15.500
36,01:15.988,01:16.305,01:25.111,01:17.748,01:16.145,01:16.059,01:16.364,01:17.548,01:15.463,01:16.044,01:17.048,01:15.759,01:14.715,01:14.721,01:15.927,01:15.702,01:15.853,01:14.922,01:17.770,01:16.057
37,01:16.464,01:16.206,01:16.944,01:16.576,01:18.748,01:15.903,01:19.444,01:15.647,01:15.203,01:15.974,01:16.635,01:16.177,01:14.029,01:14.516,01:16.228,01:15.881,01:15.929,01:15.694,01:18.601,01:15.833
38,01:18.092,01:19.628,01:16.661,01:16.717,01:16.314,01:15.729,01:16.624,01:16.352,01:15.342,01:16.681,01:17.323,01:16.409,01:14.212,01:14.788,01:15.949,01:15.482,01:17.042,01:14.307,01:18.171,01:16.157
39,01:18.285,01:16.366,01:16.940,01:16.683,01:16.558,01:15.863,01:15.822,01:16.030,01:15.117,01:18.278,01:16.831,01:15.963,01:13.921,01:17.127,01:16.107,01:15.707,01:18.298,01:14.199,01:19.757,01:16.042
40,01:16.659,01:16.313,01:17.681,01:18.041,01:17.635,01:15.535,01:16.213,01:16.020,01:15.325,01:17.417,01:16.509,01:15.906,01:16.990,01:32.263,01:16.571,01:15.665,01:17.461,01:15.397,01:21.745,01:16.158
41,01:18.107,01:16.293,01:17.222,01:17.033,01:20.779,01:15.622,01:16.556,01:15.982,01:15.166,01:17.070,01:16.438,01:16.117,01:31.271,01:13.292,01:17.039,01:15.585,01:17.179,01:14.960,01:36.349,01:16.375
42,01:16.821,01:19.533,01:17.094,01:16.835,,01:15.548,01:16.716,01:16.596,01:15.466,01:16.812,01:16.371,01:16.067,01:13.524,01:13.428,01:16.656,01:15.725,01:16.794,01:14.601,01:15.867,01:16.850
43,01:15.674,01:35.250,01:16.625,01:16.251,,01:15.477,01:15.800,01:15.806,01:15.336,01:17.680,01:16.004,01:17.035,01:13.480,01:13.806,01:16.834,01:15.428,01:17.544,01:14.632,01:15.976,01:16.910
