,3,4,5,6,9,10,11,14,16,18,31,33,44,47,55,63,77,88,99
44,01:44.842,01:44.645,01:43.023,01:43.538,,,01:44.518,01:45.578,01:44.866,01:44.930,01:44.875,,,01:39.037,01:44.756,01:44.810,01:44.645,01:43.240,01:43.011
45,01:25.404,01:25.380,01:26.631,01:26.672,,,01:25.965,01:26.574,01:25.993,01:26.670,01:26.321,,,01:27.402,01:26.169,01:27.102,01:25.500,01:28.246,01:27.588
46,01:25.608,01:25.386,01:26.498,01:27.469,,,01:25.361,01:26.474,01:25.606,01:26.296,01:26.570,,,01:27.426,01:25.653,01:26.513,01:25.723,01:26.822,01:26.724
47,01:25.713,01:25.573,01:26.273,01:26.377,,,01:25.553,01:26.342,01:25.956,01:26.337,01:26.783,,,01:27.179,01:26.110,01:26.547,01:25.632,01:26.688,01:26.991
48,01:25.617,01:25.728,01:26.322,01:26.181,,,01:25.800,01:26.238,01:25.941,01:26.261,01:26.632,,,01:27.139,01:26.040,01:26.351,01:25.726,01:26.844,01:26.656
49,01:25.548,01:25.396,01:26.150,01:26.171,,,01:25.603,01:26.021,01:25.619,01:26.225,01:26.264,,,01:27.359,01:25.992,01:26.074,01:25.287,01:28.639,01:26.226
50,01:25.440,01:25.372,01:25.938,01:25.953,,,01:25.448,01:25.861,01:25.511,01:26.018,01:25.971,,,01:27.128,01:26.282,01:26.023,01:25.593,01:26.250,01:25.718
51,01:25.234,01:25.285,01:26.402,01:26.259,,,01:25.274,01:25.910,01:25.517,01:25.929,01:26.042,,,01:27.412,01:25.928,01:26.135,01:25.649,01:26.292,01:25.859
52,01:25.374,01:25.414,01:26.281,01:26.289,,,01:25.281,01:25.472,01:25.664,01:25.853,01:25.905,,,01:26.707,01:25.910,01:25.846,01:25.191,01:26.375,01:26.153
53,01:24.812,01:24.971,01:26.110,01:26.282,,,01:25.156,01:25.511,01:25.319,01:26.077,01:25.566,,,01:26.771,01:25.559,01:25.835,01:25.270,01:25.849,01:26.161
